QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Status,Compliance_Ref,CI_ID,Related_CI_IDs
91001,Zerologon Netlogon Privilege Escalation (CVE-2020-1472),5,10.0,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2020-1472,Missing Patch,10.20.10.10,DC01,10,Corporate LAN,445,MS-NRPC,The domain controller is missing the Zerologon patch; an unauthenticated attacker on the LAN can reset the machine account and escalate to domain admin.,Full domain compromise (Domain Admin) from an unauthenticated LAN position.,Apply the August 2020+ cumulative update; enforce secure RPC for Netlogon.,Yes,IT Infrastructure Team,Confirmed,PCI DSS 6.2,SRV-AB-1001,
90211,Cached Domain Admin Session on JUMP01 (LSASS),4,8.0,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Credential Hygiene),Credential,10.20.50.10,JUMP01,50,Management/OOB,N/A,LSASS,Cached domain admin credentials are resident in LSASS on the JUMP01 bastion; a foothold on the jump host yields Domain Admin via credential dumping.,Domain Admin credential theft from the management jump host.,Enable Credential Guard; restrict interactive DA logons; use time-bound PAM.,N/A,IT Infrastructure Team,Confirmed,SWIFT CSP 4.1,SRV-AB-1050,
200533,Shared SWIFT-Admin Credential Identical to Domain Admin,5,8.4,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Weak Configuration),Credential,10.20.40.30,SWIFT-GW01,40,Payments/CDE,22,SSH,"The SWIFT administrative credential is identical to the general Domain Admin credential and is valid on PAY-CORE01 and SWIFT-GW01, violating SWIFT CSP dedicated-identity requirements.",A single credential compromise yields administrative control of the SWIFT gateway and payment core.,"Use a dedicated, non-shared SWIFT admin identity; enforce SWIFT CSP 4.1/5.1.",N/A,Compliance-GRC Team,Confirmed,SWIFT CSP 4.1,SRV-AB-1042,SRV-AB-1040
38689,Microsoft SMBv1 Remote Code Execution (EternalBlue / MS17-010),5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2017-0144,Missing Patch,10.20.10.20,FILESRV01,10,Corporate LAN,445,SMB,"FILESRV01 has SMBv1 enabled and is missing MS17-010, exploitable via EternalBlue for unauthenticated remote code execution as SYSTEM.",Remote code execution as SYSTEM enabling ransomware and lateral movement on the corporate LAN.,Apply MS17-010; disable SMBv1; segment SMB.,Yes,IT Infrastructure Team,Confirmed,PCI DSS 6.2,SRV-AB-1002,
200800,VMware vCenter Unauthenticated RCE (CVE-2021-21972),5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2021-21972,Missing Patch,10.20.50.20,VCENTER01,50,Management/OOB,443,HTTPS,The vCenter appliance is vulnerable to unauthenticated remote code execution via the vSphere Client plugin; control of vCenter is control of every VM it hosts.,Remote code execution on the hypervisor management plane — blast radius over all guest VMs.,Apply the vCenter security patch for CVE-2021-21972; restrict management access.,Yes,IT Infrastructure Team,Confirmed,SWIFT CSP 2.1,SRV-AB-1051,
200338,MSSQL Application Account Excessive Privilege (db_owner),4,7.2,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Database,10.20.30.10,DB-EBANK01,30,DB Tier,1433,MSSQL,The eBanking application service account holds db_owner on DB-EBANK01; a compromise of APP-EBANK01 grants full database access including customer data.,Full read/write access to the eBanking customer database.,Reduce the app account to least privilege; separate schema ownership.,N/A,DBA Team,Confirmed,PCI DSS 7.1,DBS-AB-3001,SRV-AB-1020
150233,Hardcoded Database Credentials in Payments App Config,4,7.5,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Secrets Exposure),Secrets,10.20.21.30,APP-PAY01,21,App Tier,1521,Oracle,The payments engine config on APP-PAY01 contains a hardcoded database password for DB-PAY01; credential disclosure enables direct database access.,Direct access to the payments database using leaked application credentials.,Move secrets to a vault; rotate the exposed credential; scan for secrets in CI.,N/A,AppSec Team,Confirmed,PCI DSS 6.3 / 8.2,SRV-AB-1022,DBS-AB-3002
200622,Stale Oracle Database Link: DB-PAY01 to SETTLEMENT01,4,7.8,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Misconfiguration),Database,10.20.30.20,DB-PAY01,30 -> 40,DB Tier,1521,Oracle,A one-time migration database link (db link) from DB-PAY01 into SETTLEMENT01 in the CDE was never removed; it allows cross-tier queries from the DB tier directly into settlement.,Compromise of the payments DB reaches the settlement crown jewel via the stale DB link.,Drop the unused database link; review all cross-tier DB links quarterly.,N/A,DBA Team,Confirmed,PCI DSS 1.2 / SWIFT CSP 1.1,DBS-AB-3002,SRV-AB-1041
150100,Settlement Processing Data Exposure Risk (SETTLEMENT01),5,7.5,AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N,N/A (Business Impact),Data,10.20.40.20,SETTLEMENT01,40,Payments/CDE,N/A,Application,SETTLEMENT01 processes interbank settlement files; unauthorized access enables settlement/payment data exfiltration and tampering.,Exfiltration or tampering of settlement and payment data.,"Enforce CDE segmentation, MFA, and file-integrity monitoring.",N/A,Compliance-GRC Team,Confirmed,PCI DSS 3.4 / SWIFT CSP 6.1,SRV-AB-1041,
150101,Cardholder Data Exposure Risk (PAY-CORE01),5,7.5,AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N,N/A (Business Impact),Data,10.20.40.10,PAY-CORE01,40,Payments/CDE,N/A,Application,PAY-CORE01 stores and processes cardholder data; unauthorized access enables a cardholder data breach.,Cardholder data breach with PCI and regulatory impact.,Tokenize PAN; enforce CDE isolation and monitoring.,N/A,Compliance-GRC Team,Confirmed,PCI DSS 3.4,SRV-AB-1040,
150102,SWIFT Payment Message Tampering Risk (SWIFT-GW01),5,8.0,AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N,N/A (Business Impact),Data,10.20.40.30,SWIFT-GW01,40,Payments/CDE,N/A,SWIFT Alliance,SWIFT-GW01 is the interbank payment messaging gateway; administrative access enables unauthorized payment message injection.,Fraudulent interbank payment messages (financial and regulatory impact).,"Enforce SWIFT CSP controls, dual-authorization, and message integrity monitoring.",N/A,Compliance-GRC Team,Confirmed,SWIFT CSP 2.1 / 6.1,SRV-AB-1042,
300045,IAM Role Has AdministratorAccess (acmebank-app-role),5,8.8,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Cloud Misconfiguration),Cloud,N/A,acmebank-app-role,Cloud,Cloud,443,AWS API,The acmebank-app-role IAM role has the AdministratorAccess policy attached; possession of the role grants access to all AWS resources including acmebank-finance-rds.,Cloud privilege escalation to full AWS account administrator.,Replace AdministratorAccess with a scoped least-privilege policy.,N/A,Cloud Team,Confirmed,DORA / PCI DSS 7.1,CLD-AB-5002,CLD-AB-5003
500001,TLS 1.0 / 1.1 Enabled (Deprecated Protocol),2,3.7,AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,N/A,Encryption,10.20.20.5,LB01,20,DMZ,443,HTTPS,The load balancer still negotiates deprecated TLS 1.0/1.1 in addition to TLS 1.2/1.3.,Weak transport encryption for a subset of legacy clients.,Disable TLS 1.0/1.1; require TLS 1.2+.,N/A,Network Team,Confirmed,PCI DSS 4.1,NGR-AB-2002,
500002,Outdated jQuery Library (Reflected XSS),2,4.3,AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,N/A,Web Application,10.20.21.20,APP-HR01,21,App Tier,443,HTTPS,The HR self-service portal ships an outdated jQuery with a known reflected XSS; requires user interaction and yields no server access.,Limited client-side script execution against an authenticated HR user.,Upgrade jQuery; add output encoding and CSP.,N/A,AppSec Team,Confirmed,PCI DSS 6.2,SRV-AB-1021,
500003,SNMP Read-Only 'public' Community String,3,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,N/A,Configuration,10.20.10.1,CORE-SW01,10,Corporate LAN,161,SNMP,The core switch exposes a read-only SNMP 'public' community string disclosing device configuration details.,Information disclosure of network device configuration.,Use SNMPv3 with authentication and privacy; remove default communities.,N/A,Network Team,Confirmed,NIST CM-6,NGR-AB-2004,
500004,Missing HTTP Security Headers (Informational),1,2.6,AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N,N/A,Web Application,10.20.20.10,WEB-PORTAL01,20,DMZ,443,HTTPS,"The public website is missing HSTS, X-Content-Type-Options and CSP headers.",Marginally increased client-side attack surface; no direct server impact.,"Add HSTS, CSP, and X-Content-Type-Options headers.",N/A,AppSec Team,Confirmed,OWASP ASVS 14.4,SRV-AB-1011,
999001,Weak SSH Ciphers on Decommissioned Host,2,3.7,AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,N/A,Encryption,10.30.90.200,GHOST-HOST01,90,DR Site,22,SSH,Scan reported weak SSH ciphers on a host that is not present in the CMDB (stale scan target).,None — the asset does not exist in the CMDB (data-quality defect).,Reconcile the scan scope against the CMDB; remove decommissioned targets.,N/A,IT Infrastructure Team,Confirmed,N/A,SRV-AB-8888,
