QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Attack_Path_Ref,Status,Compliance_Ref,CI_ID,Related_CI_IDs
300214,Azure AD App Registration / Service Principal Has Subscription 'Owner' Role (Excessive Privilege),5,9.1,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,N/A (Cloud Misconfiguration),Excessive Access,N/A (Azure AD),velon-app-sp,Cloud/Azure,Azure - IAM,N/A,Azure Resource Manager API,"The service principal tied to the leaked SAS token / app settings is additionally assigned the built-in 'Owner' role at the subscription scope rather than a scoped custom role, granting unrestricted access to every resource in the subscription.","Leaked credentials grant the attacker full administrative control of the entire Azure subscription, including the ability to create new identities, modify network security groups, and access all data stores.",Replace with a scoped custom RBAC role following least privilege; implement Azure AD Privileged Identity Management (PIM) for just-in-time elevation; enable Conditional Access requiring MFA for privileged role activation.,N/A,Cloud Team,PATH-C-Step2,Confirmed,CIS Azure 1.23 / HIPAA 164.308(a)(4),CLD-VL-5002,"CLD-VL-5001 (upstream), CLD-VL-5003 (downstream)"
300228,Azure SQL Database 'velon-claims-db' Publicly Accessible With Weak Administrator Password,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,N/A (Cloud Misconfiguration),Cloud Misconfiguration,N/A (Azure SQL endpoint),velon-claims-db,Cloud/Azure,Azure - East US,1433,MSSQL (Azure SQL),"The insurance claims database has a firewall rule allowing 0.0.0.0-255.255.255.255 (effectively public) and uses a weak, dictionary-guessable administrator password ('Claims2023!').",Direct internet-facing access to the claims database combined with a crackable password allows full data exfiltration of insurance and billing records without any prior network foothold.,Remove the open firewall rule and restrict to specific application subnets via Azure SQL firewall/VNet rules; rotate to a high-entropy password stored in Azure Key Vault with automatic rotation; enable Azure AD-only authentication.,N/A,Cloud Team / DBA Team,PATH-C-Step3,Confirmed,HIPAA Security Rule 164.312(e)(1),CLD-VL-5003,CLD-VL-5002 (upstream)
46840,Fortinet FortiOS Authentication Bypass on Administrative Interface,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2022-40684,Missing Patch,10.20.20.20,CLINIC-VPN-GW01,20,DMZ,443,HTTPS/SSL-VPN,"The clinic-to-hospital SSL-VPN concentrator runs an unpatched FortiOS build vulnerable to an authentication bypass allowing arbitrary administrative actions, including adding a new SSH key to any account.","An attacker can add their own SSH key to an administrative account without any valid credentials, gaining full control of the VPN gateway.",Upgrade FortiOS to a fixed release (7.0.7+/7.2.2+); audit all local accounts for unauthorized SSH keys; restrict management interface access to the management network only.,Yes,Network Team,PATH-D-Step1,Confirmed,HIPAA Security Rule 164.312(e),SRV-VL-1012,"SRV-VL-1050 (downstream, Path D)"
200955,VPN Split-Tunnel ACL Grants Clinic Remote Users Access to Management VLAN (Excessive Access),4,7.2,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access / Firewall,10.20.50.0/24,CLINIC-VPN-GW01 policy,20 -> 50,VPN / Management,ANY,ANY,"The VPN client policy 'Clinic-Remote-Full' routes and permits traffic to 10.20.50.0/24 (the out-of-band management VLAN), which should never be reachable from a general-purpose clinic VPN profile.","Any compromised clinic VPN credential grants direct network reach to management infrastructure (jump hosts, hypervisor consoles, backup managers), collapsing the intended tier separation.",Split VPN profiles by role; clinic users should only reach EHR/scheduling resources through an application-layer gateway; management VLAN should require a separate hardened PAM-brokered VPN profile with MFA.,N/A,Network Team,PATH-D-Step2,Confirmed,HIPAA Security Rule 164.312(e),SRV-VL-1012,SRV-VL-1050 (downstream)
91145,Cached Domain Admin Credentials Present on Jump Host (Credential Hygiene Violation),4,8.4,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.20.50.10,JUMP01,50,Management/OOB,3389,RDP,"A domain administrator previously RDP'd into JUMP01 for troubleshooting and left cached credentials (LSASS-resident), violating the tiered administration model.",Compromise of JUMP01 (a lower-trust bastion host) permits credential dumping and full escalation to Domain Admin.,Implement Microsoft tiered administration (Tier 0/1/2 separation); enable Credential Guard and Protected Users group for all privileged accounts; deploy a PAM solution for just-in-time admin access.,N/A,IT Infrastructure Team,PATH-D-Step3,Confirmed,HIPAA Security Rule 164.308(a)(3),SRV-VL-1050,"SRV-VL-1012 (upstream), SRV-VL-1051 (downstream)"
46912,VMware vCenter Server Arbitrary File Upload Remote Code Execution,5,9.8,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CVE-2021-22005,Missing Patch,10.20.50.20,HYPERVISOR01,50,Management/OOB,443,HTTPS,"vCenter Server is running a version vulnerable to unauthenticated arbitrary file upload, which can be leveraged to achieve remote code execution on the underlying appliance.","Full compromise of the virtualization management plane, granting the attacker control over every VM/ESXi host in the environment, including the EHR and imaging database servers.",Apply VMware's patch (vCenter 6.5 U3p / 6.7 U3o / 7.0 U2c or later); restrict management-plane access to a dedicated admin subnet with no general routing; place vCenter behind an additional jump/bastion with MFA.,Yes,IT Infrastructure Team / Cloud Team,PATH-D-Step4,Confirmed,HIPAA Security Rule 164.312(a),SRV-VL-1051,"SRV-VL-1050 (upstream), all 10 §2 guest CIs + SRV-VL-1052 (downstream)"
200977,Backup Management Console Uses Default Credentials,4,8.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Default Credentials,10.20.50.30,BACKUP-MGR01,50,Management/OOB,9392,HTTPS (Veeam),The Veeam Backup & Replication console is still configured with the default installation service account password.,Access to backup infrastructure allows an attacker to browse/restore backup archives (including imaging and claims data) or tamper with backup jobs to stage a ransomware event.,Change all default credentials immediately post-install as part of the hardening checklist; integrate with AD using a dedicated least-privilege service account; restrict console access to the management VLAN with a jump-host requirement.,N/A,IT Infrastructure Team,PATH-D-Step5,Confirmed,CIS Control 5.2,SRV-VL-1052,SRV-VL-1051 (upstream)
91260,"Weak, Non-Rotated Password on Clinical Integration Service Account ('svc_clinical')",4,7.5,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.20.10.10,DC01,10,Corporate LAN / AD,88,Kerberos,"The 'svc_clinical' service account (used for HL7 interface engine integration) has a weak, non-rotated password and is a member of 'Domain Users' with no additional restrictions, making it a prime Kerberoasting target.",Any domain-authenticated user can request a TGS ticket for the SPN and crack it offline; the resulting password can potentially be reused for broader access given weak password hygiene.,Rotate to a 25+ character randomly generated password (or migrate to a Group Managed Service Account/gMSA); enable AES-only Kerberos encryption; monitor for excessive TGS-REQ volume per account.,N/A,IT Infrastructure Team,PATH-E-Step1,Confirmed,HIPAA Security Rule 164.308(a)(5),SRV-VL-1001,"SRV-VL-1004 (upstream), HL7 interface runtime"
91278,Active Directory sAMAccountName Spoofing Privilege Escalation (noPac),5,10.0,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,CVE-2021-42278 / CVE-2021-42287,Missing Patch,10.20.10.10,DC01,10,Corporate LAN / AD,"88,135",Kerberos/RPC,"DC01 is missing the November 2021 security update, leaving Active Directory vulnerable to the sAMAccountName spoofing chain that allows a standard domain user to impersonate a Domain Controller and escalate to Domain Admin.","Near-trivial escalation from any domain user account to full Domain Admin, giving the attacker control of the entire Active Directory forest.",Apply the November 2021 Windows Server cumulative update (or later) to all Domain Controllers immediately; monitor for anomalous machine account creation and Kerberos ticket requests (Event ID 4741/4768).,Yes,IT Infrastructure Team,PATH-E-Step2,Confirmed,HIPAA Security Rule 164.308(a)(1) - Critical,SRV-VL-1001,"SRV-VL-1040 (downstream, Path E)"
200999,Flat Trust: Clinical/Biomed VLAN Accepts Corporate AD Authentication (No Network Tiering),5,8.9,AV:A/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access / Network Segmentation,10.20.40.0/24,Clinical/Biomed VLAN Firewall Policy,10 -> 40,Corporate LAN / Clinical Zone,ANY (Kerberos/LDAP/SMB),ANY,"The firewall/ACL between the Corporate LAN (VLAN 10) and the Clinical/Biomedical critical zone (VLAN 40) permits full Active Directory authentication traffic and SMB, meaning any domain account (including a compromised Domain Admin) can authenticate directly into the highest-sensitivity zone with no additional control.","Domain Admin compromise on the general corporate network directly cascades into the clinical device network, defeating the purpose of segmentation for life-safety-critical systems.","Redesign as a tiered/segmented trust: the clinical zone should use a resource forest or a one-way trust with a dedicated Tier-0 admin group; firewall should allow only specific management jump-host IPs into VLAN 40, not the entire VLAN 10; require PAM/MFA step-up for any admin action inside VLAN 40.",N/A,Network Team / Compliance-GRC,PATH-E-Step3,Confirmed,HIPAA Security Rule 164.312(e) / FDA Premarket Cybersecurity Guidance,NET-VL-0040,"SRV-VL-1001 (upstream), SRV-VL-1040 (downstream)"
400012,Infusion Pump Gateway - VxWorks IPnet TCP/IP Stack Buffer Overflow,5,9.8,AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2019-12255,Missing Patch,10.20.40.10,INFUSION-GW01,40,Clinical/Biomed Critical Zone,N/A,IPnet TCP/IP (VxWorks),"The infusion pump gateway workstation runs a legacy VxWorks-based real-time OS build with the vulnerable IPnet TCP/IP stack (the 'URGENT/11' vulnerability class), enabling remote buffer overflow with no authentication required from the local network segment.","An attacker reaching the clinical device network could crash or take control of the gateway coordinating multiple bedside infusion pumps, with a plausible path to altering pump communication and posing direct patient-safety risk.",Apply the manufacturer's firmware/software update addressing the IPnet stack per the vendor's cybersecurity bulletin; segment infusion pump gateways onto a dedicated micro-segment with no routable path from corporate AD; deploy network-based virtual patching (IDS/IPS signatures) where firmware updates require a formal change-control/clinical validation cycle.,Vendor bulletin available,Clinical Engineering & Compliance,PATH-E-Step4,Confirmed,FDA Postmarket Cybersecurity Guidance / HIPAA 164.312(a),SRV-VL-1040,"SRV-VL-1001 (upstream, or independent), SRV-VL-1042 (downstream)"
201011,Automated Dispensing Cabinet Shares Administrative Credential With General IT Administration (Excessive Access),5,8.2,AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access,10.20.40.20,PHARMACY-DISPENSE01,40,Clinical/Biomed Critical Zone,"443,3389",HTTPS/RDP,"PHARMACY-DISPENSE01, which controls automated medication dispensing cabinets, is administered using the same Domain Admin credential set used for general corporate IT support, rather than a dedicated, isolated administrative identity.","A Domain Admin compromise anywhere in the environment grants direct administrative access to medication dispensing controls, creating a plausible path to medication diversion or dosage tampering.","Implement dedicated, isolated administrative identities for all clinical/pharmacy systems per FDA postmarket cybersecurity guidance; require dual-control/two-person integrity for any configuration change; eliminate shared-credential administration.",N/A,Clinical Engineering & Compliance,PATH-E-Step5,Confirmed,FDA Postmarket Cybersecurity Guidance / HIPAA 164.308(a)(3),SRV-VL-1042,SRV-VL-1040 (upstream)
150455,Spring Framework Remote Code Execution (Spring4Shell),5,9.8,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2022-22965,Missing Patch,10.20.21.30,TELEHEALTH-APP01,21,App Tier,8443,HTTPS,The telehealth video-visit backend uses a bundled Spring Framework version vulnerable to a class-loader manipulation RCE exploitable via a crafted HTTP request on JDK 9+ with certain deployment configurations.,Unauthenticated remote code execution on the application server hosting telehealth session logic.,"Upgrade Spring Framework to >=5.3.18/5.2.20; if immediate patching isn't possible, apply the interim WAF/mitigation controls Spring published (disallowedFields binder configuration); deploy egress filtering to detect anomalous outbound connections from app servers.",Yes,AppSec Team,PATH-F-Step1,Confirmed,HIPAA Security Rule 164.308(a)(1) - Critical,SRV-VL-1022,"SRV-VL-1032 (downstream, Path F)"
201033,Telehealth Service Running as Local SYSTEM Instead of Dedicated Low-Privilege Account (Excessive Privilege),4,7.8,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access,10.20.21.30,TELEHEALTH-APP01,21,App Tier,N/A,N/A,"The telehealth Java service is configured to run as NT AUTHORITY\SYSTEM instead of a dedicated, least-privilege service account, a legacy 'it just worked' configuration.",Any code execution vulnerability in the app (such as Spring4Shell) immediately grants full SYSTEM-level control of the host rather than being contained to an application-scoped account.,Reconfigure the Windows service to run under a dedicated 'svc_telehealth' account with only the specific rights needed; apply the principle of least privilege consistently across all application services.,N/A,AppSec Team / IT Infrastructure Team,PATH-F-Step2,Confirmed,CIS Control 5 / HIPAA 164.308(a)(3),SRV-VL-1022,N/A (severity amplifier for F1)
150467,Hardcoded Database Credentials in Telehealth Application Configuration File,4,7.4,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Secrets Management,10.20.21.30,TELEHEALTH-APP01,21,App Tier,N/A,N/A,The application's 'application.yml' file contains the DB-CLAIMS01 connection string with a plaintext username/password rather than referencing a secrets manager or environment-injected value.,Local file system access (achieved via the Spring4Shell RCE) directly yields database credentials without any further exploitation needed.,Migrate secrets to Azure Key Vault with runtime injection; rotate the exposed DB credential; add secret-scanning to the CI/CD pipeline to prevent recurrence.,N/A,AppSec Team / DBA Team,PATH-F-Step3,Confirmed,HIPAA Security Rule 164.312(a)(2)(iv),SRV-VL-1022,SRV-VL-1032 (downstream)
201055,Excessive Database Link Privileges Between Telehealth and Claims Databases (Excessive Access),4,7.9,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access,10.20.30.30,DB-CLAIMS01,30,DB Tier,1433,MSSQL,"A linked-server connection from the telehealth database to the insurance claims database was created for a one-time billing-integration project and was never removed or scoped down, using a highly privileged account.","Compromise of the telehealth application allows an attacker to pivot directly into the claims/billing database via the trusted linked-server connection without needing separate credentials, enabling insurance fraud or billing manipulation.","Remove unused linked-server connections; where cross-database access is genuinely required, scope the linked account to specific views/procedures with read-only access rather than a trusted/passwordless link.",N/A,DBA Team,PATH-F-Step4,Confirmed,HIPAA Security Rule 164.312(a)(1),SRV-VL-1032,"SRV-VL-1022 (upstream), SRV-VL-1030 (downstream)"
110102,Anonymous SMB Access Enabled on Imaging Archive NAS,4,7.5,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access,10.20.80.10,IMAGING-NAS01,80,Backup/Storage,445,SMB,IMAGING-NAS01 permits anonymous/guest SMB sessions to enumerate and read the 'PACS-Archive' share.,Sensitive diagnostic imaging archives (containing patient identifiers) can be read without any credentials by anyone who reaches the storage VLAN.,Disable guest/anonymous SMB access; require authenticated access scoped to the Imaging-Admins group only; enable share-level auditing.,N/A,IT Infrastructure Team,Standalone,Confirmed,HIPAA Security Rule 164.312(a)(1),SRV-VL-1080,N/A
201077,Overly Permissive Firewall Rule: 'ANY-ANY-ALLOW' Left From Initial Clinic Deployment,3,6.8,AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,N/A (Misconfiguration),Excessive Rules,10.20.60.0/24,CLINIC-RTR01,60,Clinic/Branch VPN,ANY,ANY,"A temporary 'any-any-permit' rule created during initial outpatient clinic deployment was never removed after cutover, exposing the clinic subnet to unrestricted routing.",Broadens the attack surface for any host on the clinic network to reach core segments beyond what business need requires.,Perform a full firewall rule-base review; remove temporary/legacy rules; implement a formal rule lifecycle process with expiration dates and quarterly recertification.,N/A,Network Team,Standalone,Confirmed,HIPAA Security Rule 164.312(e),SRV-VL-1060,N/A
48113,Microsoft SMBv3 Compression Remote Code Execution (SMBGhost),4,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2020-0796,Missing Patch,10.20.10.60,WKS-CLIN01,10,Corporate LAN,445,SMB,"A clinical workstation is missing the March 2020 out-of-band update addressing a compression-handling flaw in SMBv3, enabling pre-authentication remote code execution or denial of service.","Wormable remote code execution potential on a clinical endpoint; no active mass-exploitation confirmed at this time, but the flaw remains a high-value target given its severity.",Apply the March 2020 out-of-band security update; disable SMBv3 compression via registry workaround where patching is delayed; restrict SMB (445/tcp) between workstations with host-based firewall rules.,Yes,IT Infrastructure Team,Standalone,Confirmed,HIPAA Security Rule 164.308(a)(5),SRV-VL-1004,N/A
300251,Azure AD: Excessive Global Administrator Role Assignments,4,7.2,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:L,N/A (Cloud Misconfiguration),Excessive Access,N/A (Azure AD Tenant),velon.onmicrosoft.com,Cloud/Azure,Azure AD,N/A,Azure AD,"11 user accounts hold the Global Administrator role in Azure AD, including several IT support accounts that only require Helpdesk Administrator rights.","Any one of 11 accounts being phished grants full control of the cloud identity tenant, including the ability to reset any user's MFA and access all connected SaaS/cloud resources holding patient data.","Apply least-privilege role assignment (use Helpdesk/User Administrator roles instead); reduce Global Admin count to <5; enable Privileged Identity Management (PIM) for just-in-time, time-bound elevation with approval workflow.",N/A,Cloud Team / Compliance-GRC,Standalone,Confirmed,CIS Azure 1.1.3,CLD-VL-5004,N/A
201099,Clinical/Biomedical Device Network Not Logically Isolated From General Corporate Traffic,3,6.4,AV:A/AC:H/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Compliance Gap),Compliance / Segmentation,10.20.40.0/24,Clinical/Biomed Zone (VLAN 40),10/40,Clinical/Biomed Critical Zone,ANY,ANY,Segmentation testing shows the clinical/biomedical device network (VLAN 40) is reachable from general corporate segments through more paths than documented in the network diagram submitted for the last HIPAA risk assessment.,"Undocumented/uncontrolled pathways into the clinical device network increase both HIPAA risk-assessment scope and real-world patient-safety attack surface, and represent a potential compliance finding in the next audit cycle.",Perform a full segmentation penetration test; update network diagrams to reflect actual traffic flows; remediate all undocumented paths and re-test before the next HIPAA Security Risk Assessment.,N/A,Compliance-GRC / Network Team,Standalone,Confirmed,HIPAA Security Rule 164.308(a)(1)(ii)(A),NET-VL-0040,Documents RULE-VL-005
12078,Patient Portal Administrative Console Missing Multi-Factor Authentication,3,6.9,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access / Authentication,10.20.20.10,PORTAL01,20,DMZ,443,HTTPS,"The patient portal's administrative console accepts username/password authentication only, with no multi-factor authentication requirement, despite being internet-reachable.","A leaked or brute-forced administrator credential is sufficient for full portal takeover, with no second factor to stop the attacker.",Enforce MFA (TOTP or FIDO2/WebAuthn) for all administrative console access; add rate limiting and account lockout for repeated failed logins; monitor for impossible-travel login patterns.,N/A,AppSec Team,Standalone,Confirmed,HIPAA Security Rule 164.312(d),SRV-VL-1011,N/A
