QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Attack_Path_Ref,Status,Compliance_Ref
300045,IAM Role 'ghrab-app-role' Has AdministratorAccess Managed Policy Attached (Excessive Privilege),5,9.1,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,N/A (Cloud Misconfiguration),Excessive Access,N/A (IAM),ghrab-app-role,Cloud/AWS,AWS - IAM,N/A,AWS API,"The IAM role/user tied to the leaked keys has the AWS-managed 'AdministratorAccess' policy attached rather than a scoped least-privilege policy, granting unrestricted access to all AWS services and resources in the account.","Leaked credentials grant the attacker full administrative control of the entire AWS environment, including the ability to create new IAM users, modify security groups, and access all data stores.",Replace with a scoped custom policy following least privilege; implement IAM Access Analyzer and permission boundaries; require MFA for privileged API calls; enable CloudTrail + GuardDuty alerting on AdministratorAccess usage.,N/A,Cloud Team,PATH-C-Step2,Confirmed,CIS AWS 1.16 / PCI DSS 7.1
300067,RDS Instance 'ghrab-finance-rds' Publicly Accessible With Weak Master Password,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,N/A (Cloud Misconfiguration),Cloud Misconfiguration,N/A (RDS endpoint),ghrab-finance-rds,Cloud/AWS,AWS - us-east-1,5432,PostgreSQL,"The finance reporting RDS instance has 'Publicly Accessible' set to true and uses a weak, dictionary-guessable master password ('Finance2023!').",Direct internet-facing access to the finance database combined with a crackable password allows full data exfiltration of financial records without any prior network foothold.,Set Publicly Accessible to false and place RDS in a private subnet reachable only via the App Tier security group; rotate to a high-entropy password stored in AWS Secrets Manager with automatic rotation; enable RDS IAM authentication.,N/A,Cloud Team / DBA Team,PATH-C-Step3,Confirmed,PCI DSS 8.2.3
43111,Fortinet FortiOS SSL-VPN Path Traversal / Credential Disclosure,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CVE-2018-13379,Missing Patch,10.10.20.20,VPN-GW01,20,DMZ,443,HTTPS/SSL-VPN,"The SSL-VPN portal runs an unpatched FortiOS build vulnerable to unauthenticated path traversal, allowing retrieval of the 'sslvpn_websession' file containing plaintext VPN usernames/passwords.","Attacker obtains valid VPN credentials without any authentication, enabling remote access into the internal network as a legitimate remote user.",Upgrade FortiOS to a fixed release (6.0.5+/5.6.13+/6.2.x); force password reset for all VPN users post-patch; enable MFA on the SSL-VPN portal.,Yes,Network Team,PATH-D-Step1,Confirmed,PCI DSS 8.3
200401,VPN Split-Tunnel ACL Grants Remote Users Access to Management VLAN (Excessive Access),4,7.2,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access / Firewall,10.10.50.0/24,VPN-GW01 policy,20 -> 50,VPN / Management,ANY,ANY,"The VPN client policy 'Remote-Users-Full' routes and permits traffic to 10.10.50.0/24 (the out-of-band management VLAN), which should never be reachable from a general-purpose remote-access VPN profile.","Any compromised VPN credential grants direct network reach to management infrastructure (jump hosts, hypervisor consoles, backup managers), collapsing the intended tier separation.",Split VPN profiles by role; remote-access users should only reach VLAN 10/21 resources through the jump host bastion; management VLAN should require a separate hardened PAM-brokered VPN profile with MFA and session recording.,N/A,Network Team,PATH-D-Step2,Confirmed,PCI DSS 1.3 / NIST AC-4
90211,Cached Domain Admin Credentials Present on Jump Host (Credential Hygiene Violation),4,8.4,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.10.50.10,JUMP01,50,Management/OOB,3389,RDP,"A domain administrator previously RDP'd into JUMP01 for troubleshooting and left cached credentials (LSASS-resident), violating the tiered administration model.",Compromise of JUMP01 (a lower-trust bastion host) permits credential dumping (Mimikatz) and full escalation to Domain Admin.,"Implement Microsoft tiered administration (Tier 0/1/2 separation); enable Credential Guard and Protected Users group for all privileged accounts; enforce 'restricted admin mode' / disable credential caching on jump hosts; deploy a PAM solution (e.g., CyberArk) for just-in-time admin access.",N/A,IT Infrastructure Team,PATH-D-Step3,Confirmed,PCI DSS 7.1 / CIS Control 5
43287,VMware vCenter Server RCE via Unauthenticated Analytics Service,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2021-21972,Missing Patch,10.10.50.20,VCENTER01,50,Management/OOB,443,HTTPS,vCenter Server is running a version vulnerable to unauthenticated file upload leading to remote code execution via the vRealize Operations plugin endpoint.,"Full compromise of the virtualization management plane, granting the attacker control over every VM/ESXi host in the environment (including production database and finance servers).",Apply VMware's patch (vCenter 6.5 U3n / 6.7 U3l / 7.0 U1c or later); restrict management-plane access to a dedicated admin subnet with no general routing; place vCenter behind an additional jump/bastion with MFA.,Yes,IT Infrastructure Team / Cloud Team,PATH-D-Step4,Confirmed,PCI DSS 6.2 / 2.2.2
200455,Backup Management Console Uses Default Credentials,4,8.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Default Credentials,10.10.50.30,BACKUP-MGR01,50,Management/OOB,9392,HTTPS (Veeam),The Veeam Backup & Replication console is still configured with the default installation service account password.,Access to backup infrastructure allows an attacker to browse/restore backup archives (including finance DB dumps) or tamper with backup jobs to cover tracks / stage ransomware.,Change all default credentials immediately post-install as part of the hardening checklist; integrate with AD using a dedicated least-privilege service account; restrict console access to the management VLAN with a jump-host requirement.,N/A,IT Infrastructure Team,PATH-D-Step5,Confirmed,CIS Control 5.2
90344,Kerberoastable Service Account With Weak Password ('svc_trade'),4,7.5,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.10.10.10,DC01,10,Corporate LAN / AD,88,Kerberos,"The 'svc_trade' service account (SPN registered for the trading platform) has a weak, non-rotated password ('Trading#2019') and is a member of the 'Domain Users' group with no additional restrictions, making it a prime Kerberoasting target.",Any domain-authenticated user can request a TGS ticket for the SPN and crack it offline; the resulting password can potentially be reused for broader access given weak password hygiene.,Rotate to a 25+ character randomly generated password (or migrate to a Group Managed Service Account/gMSA); enable AES-only Kerberos encryption for the SPN; monitor for excessive TGS-REQ (Event 4769) volume per account.,N/A,IT Infrastructure Team,PATH-E-Step1,Confirmed,PCI DSS 8.2.3
90512,Zerologon - Netlogon Elevation of Privilege Vulnerability,5,10.0,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2020-1472,Missing Patch,10.10.10.10,DC01,10,Corporate LAN / AD,135,RPC/Netlogon,"DC01 is missing the August 2020 security update, leaving the Netlogon Remote Protocol vulnerable to an authentication bypass that allows resetting the machine account password of the Domain Controller itself.",Trivial unauthenticated Domain Admin compromise; from here the attacker owns the entire Active Directory forest.,Apply the August 2020 Windows Server cumulative update immediately (critical/emergency patch); enable enforcement mode for Netlogon secure channel (registry FullSecureChannelProtection); monitor Event ID 5829.,Yes,IT Infrastructure Team,PATH-E-Step2,Confirmed,PCI DSS 6.2 - Critical
200512,Flat Trust: Finance/Trading VLAN Accepts Corporate AD Authentication (No Network Tiering),5,8.9,AV:A/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access / Network Segmentation,10.10.40.0/24,Finance/Trading VLAN Firewall Policy,10 -> 40,Corporate LAN / Finance Zone,ANY (Kerberos/LDAP/SMB),ANY,"The firewall/ACL between the Corporate LAN (VLAN 10) and the Finance/Trading critical zone (VLAN 40) permits full Active Directory authentication traffic and SMB, meaning any domain account (including a compromised Domain Admin) can authenticate directly into the highest-sensitivity zone with no additional control (e.g., PAM jump, network ACL by host, or separate forest/tier).","Domain Admin compromise on the general corporate network directly cascades into the PCI/SWIFT-scoped trading environment, defeating the purpose of network segmentation for the crown-jewel systems.","Redesign as a tiered/segmented trust: Finance zone should use a resource forest or at minimum a one-way trust with a dedicated Tier-0 admin group; firewall should allow only specific management jump-host IPs into VLAN 40, not the entire VLAN 10; require PAM/MFA step-up for any admin action inside VLAN 40.",N/A,Network Team / Compliance-GRC,PATH-E-Step3,Confirmed,PCI DSS 1.2 / 1.3 (CDE Segmentation)
45923,Remote Desktop Services Remote Code Execution (BlueKeep),5,9.8,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2019-0708,Missing Patch,10.10.40.10,TRADE-CORE01,40,Finance/Trading Critical Zone,3389,RDP,"The core trading server is running an unpatched, EOL-adjacent Windows Server build with RDP exposed and vulnerable to the pre-authentication BlueKeep RCE.","Wormable unauthenticated remote code execution on the organization's most sensitive trading system, enabling manipulation or theft of trade execution data.",Apply the May 2019 out-of-band patch immediately; disable RDP on this host entirely and require access only via the PAM jump host with MFA; enable Network Level Authentication (NLA) as defense in depth; plan OS upgrade off EOL platform.,Yes,IT Infrastructure Team,PATH-E-Step4,Confirmed,PCI DSS 6.2 - Critical
200533,SWIFT Gateway Shares Domain Admin Credential With General IT Administration (Excessive Access),5,8.2,AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access,10.10.40.30,SWIFT-GATEWAY01,40,Finance/Trading Critical Zone,"443,22",HTTPS/SSH,"SWIFT-GATEWAY01, which handles interbank payment messaging, is administered using the same Domain Admin credential set used for general corporate IT support, rather than a dedicated, isolated administrative identity as mandated by SWIFT Customer Security Programme (CSP) controls.","A Domain Admin compromise anywhere in the environment grants direct administrative access to the payment messaging gateway, creating a plausible path to fraudulent transaction injection.","Implement SWIFT CSP-mandated architecture: isolate the SWIFT-related components in a dedicated secure zone with its own identity store, require dual-control/4-eyes for any configuration change, and eliminate shared-credential administration.",N/A,Compliance-GRC / Network Team,PATH-E-Step5,Confirmed,SWIFT CSP Control 1.1 / PCI DSS 7.1
150221,Apache Log4j2 Remote Code Execution (Log4Shell),5,10.0,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2021-44228,Missing Patch,10.10.21.30,APP-TRADE01,21,App Tier,8443,HTTPS,"The trading platform's log ingestion endpoint uses a bundled Log4j2 library (2.14.1) vulnerable to JNDI injection via crafted log messages (e.g., in the User-Agent header).",Unauthenticated remote code execution on the application server hosting core trading logic.,"Upgrade Log4j2 to >=2.17.1; if immediate patching isn't possible, set 'log4j2.formatMsgNoLookups=true' and remove the JndiLookup class as a stopgap; deploy egress filtering to block outbound LDAP/RMI callbacks from app servers.",Yes,AppSec Team,PATH-F-Step1,Confirmed,PCI DSS 6.2 - Critical
200601,Application Service Running as Local SYSTEM Instead of Dedicated Low-Privilege Account (Excessive Privilege),4,7.8,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,N/A (Misconfiguration),Excessive Access,10.10.21.30,APP-TRADE01,21,App Tier,N/A,N/A,"The trading platform Java service (APP-TRADE01) is configured to run as NT AUTHORITY\SYSTEM instead of a dedicated, least-privilege service account, a legacy 'it just worked' configuration.",Any code execution vulnerability in the app (such as Log4Shell) immediately grants full SYSTEM-level control of the host rather than being contained to an application-scoped account.,"Reconfigure the Windows service to run under a dedicated 'svc_apptrade' account with only the specific rights needed (log on as a service, access to its own directories); apply the principle of least privilege consistently across all application services.",N/A,AppSec Team / IT Infrastructure Team,PATH-F-Step2,Confirmed,CIS Control 5 / PCI DSS 7.1
150233,Hardcoded Database Credentials in Application Configuration File,4,7.4,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Secrets Management,10.10.21.30,APP-TRADE01,21,App Tier,N/A,N/A,The application's 'application.properties' file contains the DB-TRADE01 connection string with a plaintext username/password rather than referencing a secrets manager or environment-injected value.,Local file system access (achieved via the Log4Shell RCE) directly yields database credentials without any further exploitation needed.,Migrate secrets to a vault solution (HashiCorp Vault / AWS Secrets Manager / Azure Key Vault) with runtime injection; rotate the exposed DB credential; add secret-scanning to the CI/CD pipeline to prevent recurrence.,N/A,AppSec Team / DBA Team,PATH-F-Step3,Confirmed,PCI DSS 3.5 / 8.2.1
200622,Excessive Database Link Privileges Between DB-TRADE01 and SETTLEMENT01 (Excessive Access),4,7.9,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access,10.10.30.30,DB-TRADE01,30,DB Tier,1521,Oracle,A database link (DB LINK) from DB-TRADE01 to the settlement database on SETTLEMENT01 was created with a highly privileged account for a one-time historical migration and was never removed or scoped down.,"Compromise of DB-TRADE01 allows an attacker to pivot directly into the settlement system via the trusted DB link without needing separate credentials or network access, undermining the segmentation between trading and settlement data.","Remove unused database links; where cross-database access is genuinely required, scope the linked account to specific views/procedures with read-only access and re-authenticate rather than using a trusted/passwordless link.",N/A,DBA Team,PATH-F-Step4,Confirmed,PCI DSS 7.1.2
105102,Anonymous SMB Access Enabled on Backup NAS,4,7.5,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access,10.10.80.10,NAS01,80,Backup/Storage,445,SMB,NAS01 permits anonymous/guest SMB sessions to enumerate and read the 'FinanceBackups' share.,Sensitive backup archives (including finance DB dumps) can be read without any credentials by anyone who reaches the storage VLAN.,Disable guest/anonymous SMB access ('RestrictAnonymous' hardening); require authenticated access scoped to the Backup-Admins group only; enable share-level auditing.,N/A,IT Infrastructure Team,Standalone,Confirmed,PCI DSS 7.1
200711,Overly Permissive Firewall Rule: 'ANY-ANY-ALLOW' Left From Initial Deployment,3,6.8,AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,N/A (Misconfiguration),Excessive Rules,10.10.60.0/24,BRANCH-RTR01,60,Branch/VPN,ANY,ANY,"A temporary 'any-any-permit' rule created during initial branch office deployment was never removed after cutover, exposing the branch subnet to unrestricted routing.",Broadens the attack surface for any host on the branch network to reach core segments beyond what business need requires.,Perform a full firewall rule-base review; remove temporary/legacy rules; implement a formal rule lifecycle process with expiration dates and quarterly recertification.,N/A,Network Team,Standalone,Confirmed,PCI DSS 1.1.6
43055,Microsoft Exchange Server ProxyShell Remote Code Execution,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2021-34473,Missing Patch,10.10.20.30,MAIL-RELAY01,20,DMZ,443,HTTPS,"The Exchange mail relay is missing the KB5001779 security update, leaving it vulnerable to the ProxyShell exploit chain (pre-auth RCE via Autodiscover/PowerShell backend).","Unauthenticated remote code execution on the mail infrastructure, enabling mailbox access, web shell deployment, and further internal pivoting.",Apply the latest Exchange Cumulative Update and security patches; restrict external access to Exchange management endpoints; deploy Microsoft's Exchange Emergency Mitigation Service.,Yes,IT Infrastructure Team,Standalone,Confirmed,PCI DSS 6.2 - Critical
200788,Microsoft Entra ID: Excessive Global Administrator Role Assignments,4,7.2,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:L,N/A (Cloud Misconfiguration),Excessive Access,N/A (Entra ID Tenant),ghrab.onmicrosoft.com,Cloud/Azure AD,Entra ID,N/A,Azure AD,"14 user accounts hold the Global Administrator role in Entra ID, including several IT support accounts that only require Helpdesk Administrator rights.","Any one of 14 accounts being phished grants full control of the cloud identity tenant, including the ability to reset any user's MFA and access all connected SaaS/cloud resources.","Apply least-privilege role assignment (use Helpdesk/User Administrator roles instead); reduce Global Admin count to <5; enable Privileged Identity Management (PIM) for just-in-time, time-bound elevation with approval workflow.",N/A,Cloud Team / Compliance-GRC,Standalone,Confirmed,CIS Azure 1.1.3
43602,Outlook Elevation of Privilege (NTLM Credential Leak via Reminder Sound),4,8.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,CVE-2023-23397,Missing Patch,10.10.10.50,WKS-FIN01,10,Corporate LAN,N/A,MAPI/Outlook,"Outlook client is missing the March 2023 security update, vulnerable to NTLM hash leakage via a malicious calendar reminder sound path pointing to an attacker-controlled UNC share.",Requires no user interaction beyond receiving an email; leaked NTLM hash can be relayed or cracked for further authentication.,Apply the March 2023 Microsoft security update; block outbound SMB (445/tcp) at the perimeter firewall; run Microsoft's CVE-2023-23397 audit script to detect prior exploitation.,Yes,IT Infrastructure Team,Standalone,Confirmed,PCI DSS 6.2
200812,PCI Cardholder Data Environment Not Logically Isolated From General Corporate Traffic,3,6.4,AV:A/AC:H/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Compliance Gap),Compliance / Segmentation,10.10.40.0/24,Finance/Trading Zone (CDE),10/40,Finance/Trading Critical Zone,ANY,ANY,Segmentation testing shows the Cardholder Data Environment (VLAN 40) is reachable from general corporate segments through more paths than documented in the network diagram submitted for the last PCI assessment.,"Undocumented/uncontrolled pathways into the CDE increase both the PCI DSS assessment scope and the real-world attack surface, and represent a potential compliance finding (QSA gap).",Perform a full segmentation penetration test; update network diagrams to reflect actual traffic flows; remediate all undocumented paths and re-test before the next PCI assessment cycle.,N/A,Compliance-GRC / Network Team,Standalone,Confirmed,PCI DSS 11.3.4
