QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Status,Compliance_Ref,CI_ID,Related_CI_IDs
150512,Payment Switch Software Missing Vendor Security Update,4,7.8,AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L,CVE-2023-41892,Missing Patch,10.40.30.10,PAY-PROC01,30,Payment Processing Zone (PCI CDE),8443,HTTPS,"PAY-PROC01 runs a payment switch application built on an outdated Craft CMS component bundled with a third-party reporting dashboard, missing a vendor-issued patch for a remote code execution flaw in that component.","If network access to the CDE is obtained, this unpatched component allows remote code execution on the payment switch itself.",Apply the vendor's security update for the bundled reporting dashboard; remove the component entirely if the reporting feature is unused; restrict management-plane access to PAY-ADMIN01 only.,Yes,Payment Systems Team,Confirmed,PCI DSS 6.2,SRV-EL-1030,SRV-EL-1033
150520,HSM Gateway Firmware Below Vendor-Supported Baseline,3,5.9,AV:A/AC:H/PR:H/UI:N/S:U/C:L/I:L/A:N,N/A (Missing Patch),Missing Patch,10.40.30.30,HSM-GW01,30,Payment Processing Zone (PCI CDE),1500,Thales HSM Protocol,"HSM-GW01 is running a firmware revision two major versions behind the vendor-supported baseline, missing hardening improvements to the key-ceremony API.",Reduces defense-in-depth around key management operations should an attacker already have CDE network access.,Schedule a maintenance window to apply the latest vendor firmware and re-validate FIPS 140-2 compliance post-upgrade.,Yes,Payment Systems Team,Confirmed,PCI DSS 6.2,SRV-EL-1032,N/A
43811,Fortinet FortiOS SSL-VPN Authentication Bypass,5,9.6,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,CVE-2022-40684,Missing Patch,10.40.20.30,VPN-GW01,20,DMZ / E-Commerce (internet-facing),443,HTTPS/SSL-VPN,"The SSL-VPN portal runs an unpatched FortiOS build vulnerable to an authentication bypass via a crafted HTTP request, allowing an attacker to add arbitrary SSH keys or read admin credentials without authenticating.",Attacker obtains administrative access to the VPN gateway without any valid credentials.,Upgrade FortiOS to a fixed release (7.2.2/7.0.7/6.4.11/6.0.14 or later); force password reset for all VPN and local admin accounts post-patch; enable MFA on the SSL-VPN portal.,Yes,Network Team,Confirmed,PCI DSS 8.3,SRV-EL-1013,N/A
90512,Zerologon - Netlogon Elevation of Privilege Vulnerability,5,10.0,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2020-1472,Missing Patch,10.40.10.10,DC01,10,Corporate LAN,135,RPC/Netlogon,"DC01 is missing the August 2020 security update, leaving the Netlogon Remote Protocol vulnerable to an authentication bypass that allows resetting the Domain Controller's own machine account password.",Trivial unauthenticated Domain Admin compromise; from here the attacker owns the entire Active Directory forest.,Apply the August 2020 Windows Server cumulative update immediately; enable enforcement mode for Netlogon secure channel; monitor Event ID 5829.,Yes,IT Infrastructure Team,Confirmed,PCI DSS 6.2 - Critical,SRV-EL-1001,N/A
300021,Azure Blob Container Publicly Readable - Contains Customer Export File,4,7.5,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,N/A (Cloud Misconfiguration),Cloud Misconfiguration,N/A (blob://elihowa-product-images),elihowa-product-images,Cloud/Azure,Azure - westeurope,443,HTTPS,"The blob container 'elihowa-product-images', intended for public product photos, has anonymous read access enabled at the container level and contains an accidentally-uploaded 'customer_export_2025Q1.csv' with names and email addresses.","Anyone on the internet can enumerate and download the container contents, harvesting customer PII (GDPR-relevant exposure).",Disable anonymous container access; move the export file to a private container with SAS-token access; enable Azure Storage lifecycle scanning for misplaced sensitive files.,N/A,Cloud Team,Confirmed,GDPR Art. 32 / CIS Azure 3.1,CLD-EL-5001,N/A
150430,Order API Uses Hardcoded JWT Signing Secret,4,7.2,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Secrets Management,10.40.20.20,API-GW01,20,DMZ / E-Commerce,8443,HTTPS,"The Order Processing API's JWT signing secret is a hardcoded string in the application's source repository rather than a securely generated, environment-injected value.",An attacker with source or config access can forge valid session tokens for any customer account.,Migrate the signing secret to a vault-managed value generated with sufficient entropy; rotate the current secret; add secret-scanning to the CI/CD pipeline.,N/A,AppSec/Dev Team,Confirmed,PCI DSS 6.3.1,SRV-EL-1012,N/A
150220,Vulnerable Dependency in Order API (ReDoS via minimatch),2,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,CVE-2022-3517,Missing Patch,10.40.20.20,API-GW01,20,DMZ / E-Commerce,8443,HTTPS,The Order Processing API bundles an outdated 'minimatch' npm package vulnerable to a regular-expression denial-of-service on crafted input strings.,An attacker can degrade API availability with a small number of crafted requests.,Upgrade the 'minimatch' dependency to >=3.0.5 / 5.1.2; run 'npm audit' as part of the CI pipeline going forward.,Yes,AppSec/Dev Team,Confirmed,PCI DSS 6.2,SRV-EL-1012,N/A
200460,Remote Support Tool Enabled Without MFA on Support Workstation,3,6.1,AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access,10.40.10.45,WKS-SUPPORT01,10,Corporate LAN,443,HTTPS,"WKS-SUPPORT01 has a remote-support agent (used for customer troubleshooting sessions) configured to accept connections with password-only authentication, no MFA.",A phished or reused credential grants an attacker interactive remote access to the workstation without any secondary factor.,Enforce MFA on the remote support tool's authentication policy; restrict which accounts may initiate inbound remote sessions.,N/A,IT Infrastructure Team,Confirmed,PCI DSS 8.4.2,SRV-EL-1004,N/A
105210,Network Print Appliance Running End-of-Life Firmware,2,4.6,AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,N/A (Missing Patch),Missing Patch,10.40.10.60,PRINT01,10,Corporate LAN,9100,RAW/JetDirect,PRINT01 is running vendor firmware that reached end-of-life two years ago and no longer receives security updates.,Limited direct impact; primarily a footprint/attack-surface concern and a compliance finding for asset lifecycle management.,Replace or upgrade the print appliance to a currently-supported firmware line; segment print services onto a dedicated low-trust VLAN.,N/A,IT Infrastructure Team,Confirmed,CIS Control 4,SRV-EL-1006,N/A
200125,Load Balancer TLS Configuration Permits Deprecated Cipher Suites,3,5.9,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,N/A (Misconfiguration),Configuration,10.40.20.5,LB01,20,DMZ / E-Commerce,443,HTTPS,LB01's TLS configuration still permits TLS 1.0/1.1 and several deprecated cipher suites for backward compatibility with legacy partner integrations.,Increases susceptibility to downgrade and cipher-suite exploitation attacks against traffic to the storefront.,Disable TLS 1.0/1.1 and deprecated ciphers; require TLS 1.2+ with modern AEAD cipher suites only; coordinate the legacy partner cutover date.,N/A,Network Team,Confirmed,PCI DSS 4.1,SRV-EL-1010,N/A
